"test","gene","padj","FoldChange"
"TN.Nb.vs.PBS.up","AA467197_ENSMUSG00000033213",7.27094283486319e-27,5.4674715417135
"TN.Nb.vs.PBS.up","Ifi47_ENSMUSG00000078920",1.93902262714904e-83,5.2903106846994
"TN.Nb.vs.PBS.up","Ndrg2_ENSMUSG00000004558",1.44848048730365e-15,5.26561877397833
"TN.Nb.vs.PBS.up","Gvin1_ENSMUSG00000045868",8.77519259861598e-13,4.97503143082226
"TN.Nb.vs.PBS.up","S1pr3_ENSMUSG00000067586",1.64206738332274e-36,4.73189235114153
"TN.Nb.vs.PBS.up","Trim43b_ENSMUSG00000079162",5.92366395290526e-17,4.28117855404909
"TN.Nb.vs.PBS.up","Oasl2_ENSMUSG00000029561",4.26958676828961e-17,4.26997591667731
"TN.Nb.vs.PBS.up","Isg15_ENSMUSG00000035692",3.37999609029553e-10,4.20201754711681
"TN.Nb.vs.PBS.up","Sptb_ENSMUSG00000021061",5.73309886961763e-28,4.0840165496031
"TN.Nb.vs.PBS.up","Ccl17_ENSMUSG00000031780",5.24920984504659e-48,4.03012298627285
"TN.Nb.vs.PBS.up","Ctnnal1_ENSMUSG00000038816",1.12107791309311e-11,3.74809325833892
"TN.Nb.vs.PBS.up","Pla1a_ENSMUSG00000002847",6.80779342685835e-17,3.71929330034278
"TN.Nb.vs.PBS.up","Mylk_ENSMUSG00000022836",6.94748244908085e-35,3.63159178529101
"TN.Nb.vs.PBS.up","Sphk1_ENSMUSG00000061878",2.60388199486844e-13,3.58899947147419
"TN.Nb.vs.PBS.up","Ramp3_ENSMUSG00000041046",4.32116380530776e-06,3.49332861107192
"TN.Nb.vs.PBS.up","Pdcd1lg2_ENSMUSG00000016498",2.78977036346621e-36,3.47093225135964
"TN.Nb.vs.PBS.up","Gbp7_ENSMUSG00000040253",6.72166961184728e-12,3.43884222822633
"TN.Nb.vs.PBS.up","Cd70_ENSMUSG00000019489",5.77892372729853e-11,3.42627288292124
"TN.Nb.vs.PBS.up","Fam115c_ENSMUSG00000029851",7.10089202934543e-17,3.35059942919543
"TN.Nb.vs.PBS.up","Ifi44_ENSMUSG00000028037",7.90121979863786e-06,3.28365572193791
"TN.Nb.vs.PBS.up","Htr7_ENSMUSG00000024798",1.37916357585347e-24,3.26934435694683
"CD103+.Nb.vs.PBS.down","Shroom1_ENSMUSG00000018387",0.00571186269480364,0.617963421553042
"CD103+.Nb.vs.PBS.down","Phykpl_ENSMUSG00000020359",0.0044102069522726,0.631220631719175
"CD103+.Nb.vs.PBS.down","Il9r_ENSMUSG00000020279",1.31045968955721e-06,0.634077416374367
"CD103+.Nb.vs.PBS.down","Scube3_ENSMUSG00000038677",0.00806934201446716,0.662607160501166
"CD103+.Nb.vs.PBS.down","Bahcc1_ENSMUSG00000039741",0.00988934138746127,0.665578722051153
"CD11b+.DBP+FITC.vs.UT.down","Sim1_ENSMUSG00000019913",2.91531205393812e-05,0.357063755764887
"CD11b+.DBP+FITC.vs.UT.down","Il12b_ENSMUSG00000004296",3.08910604700856e-10,0.431090277924632
"CD11b+.DBP+FITC.vs.UT.down","Dusp8_ENSMUSG00000037887",0.000551438765807757,0.44528262972929
"CD11b+.DBP+FITC.vs.UT.down","Myh15_ENSMUSG00000092009",0.0042470784103962,0.482326169339351
"CD11b+.DBP+FITC.vs.UT.down","Spata31d1b_ENSMUSG00000091311",5.15823183655979e-14,0.482584991913191
"CD11b+.DBP+FITC.vs.UT.down","Vegfa_ENSMUSG00000023951",0.00165407079873753,0.485690451383384
"CD11b+.DBP+FITC.vs.UT.down","Etv5_ENSMUSG00000013089",0.00331083992641138,0.485773601601008
"CD11b+.DBP+FITC.vs.UT.down","Cd24a_ENSMUSG00000047139",0.00276453132080776,0.493519139028606
"CD11b+.DBP+FITC.vs.UT.down","Sik1_ENSMUSG00000024042",3.04883930370102e-05,0.502349166188021
"CD11b+.DBP+FITC.vs.UT.down","Oasl1_ENSMUSG00000041827",0.00706820529990367,0.518463835850902
"CD11b+.DBP+FITC.vs.UT.down","Dusp10_ENSMUSG00000039384",0.0015539645680871,0.556290203961508
"CD11b+.DBP+FITC.vs.UT.down","Ptgs2_ENSMUSG00000032487",1.06245411343178e-05,0.556422475173955
"CD11b+.DBP+FITC.vs.UT.down","Rasgef1b_ENSMUSG00000029333",8.28517238960974e-06,0.558004510364414
"CD11b+.DBP+FITC.vs.UT.down","Vps37b_ENSMUSG00000066278",0.000587226194702536,0.564042805957379
"CD11b+.DBP+FITC.vs.UT.down","Gprc5c_ENSMUSG00000051043",0.000467439321143991,0.569247461687247
"CD11b+.DBP+FITC.vs.UT.down","Ralgds_ENSMUSG00000026821",0.000619610575742836,0.569611197570503
"CD11b+.DBP+FITC.vs.UT.down","Irf7_ENSMUSG00000025498",0.0015539645680871,0.569816714245208
"CD11b+.DBP+FITC.vs.UT.down","Tpbg_ENSMUSG00000035274",0.00556509184186609,0.572717859451451
"CD11b+.DBP+FITC.vs.UT.down","Bcr_ENSMUSG00000009681",0.00186215822482413,0.576662473880069
"CD11b+.DBP+FITC.vs.UT.down","Tgfbr2_ENSMUSG00000032440",0.00530775653073489,0.578675099748807
"CD11b+.DBP+FITC.vs.UT.down","Gpr162_ENSMUSG00000038390",4.62475213479526e-05,0.584169725766615
"CD11b+.DBP+FITC.vs.UT.down","Rbpms_ENSMUSG00000031586",8.14364842539569e-06,0.587496327246914
"CD11b+.DBP+FITC.vs.UT.down","Tgm2_ENSMUSG00000037820",0.00720331634356479,0.589315007644348
"CD11b+.DBP+FITC.vs.UT.down","Zbtb2_ENSMUSG00000075327",0.000213731006124044,0.596360057963877
"CD11b+.DBP+FITC.vs.UT.down","Cdhr1_ENSMUSG00000021803",0.000385297415686471,0.600098783717697
